"usage","1990","1992","1994","1996","1998","2001","2003","2005","2007","2009","2011","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"fuel uses",24.5,57,101,115,114,115,129.7,2144.6,2484.4,2084.8,1427,2120.29,2021.48,1922.7,1829.51,1736.3,1692,1646.83,1520,1394,1394
"cement kilns",6,7,37,34,38,53,53,802,669.1,604,305.4,726.04,739.71,753.4,779.64,805.9,811.19,816.47,749.24,682,682
"pulp/paper",13,14,27,26,20,19,26,539.3,1066.9,716,593.1,716.25,666.25,616.3,559.69,503.1,492.41,481.68,502.84,524,524
"industrial boilers",0,6,10,16,15,11,17,290.4,200.6,235,165,0,0,0,0,0,174.34,348.68,267.84,187,187
"utility boilers",1,15,12,23,25,18,23.7,373.3,343.8,326.25,160,576.25,564.65,553.1,490.18,427.3,213.66,NA,0,NA,NA
"dedicated scrap tire-to-energy",4.5,15,15,16,16,14,10,138.3,203.5,203.5,203.5,101.75,50.88,0,0,0,0,NA,0,NA,NA
"lime kilns",NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,0,0,0,0,0,0,0,NA,0,NA,NA
"electric arc furnaces",NA,NA,NA,NA,NA,NA,0.5,18.9,27.1,27.1,65.55,65.56,45.78,26,33,39.2,50,61.3,61,61,61
"ground rubber",0,5,1.5,7.5,7,21,18.2,552.5,789.1,1354.17,1093.5,975,997.88,1020.8,1017,1013.3,1051,1089,1248,1407,1407
"rubber modified asphalt",NA,NA,3,5,8,12,10,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA
"cut/punched/stamped products",NA,NA,8,8,8,8,6.5,100.5,1.9,1.9,1.9,1.9,21.55,41.2,32,22.5,21,20,10,NA,NA
"civil engineering applications",NA,5,9,10,20,40,56.4,640,561.6,284.92,294.99,172,223.46,274.9,295,316,271,226,251,276,276
"exports",NA,NA,12.5,15,15,15,9,112,102.1,102.1,302.48,245.84,173.96,102.1,106,109.8,124,138,113,87,87
"agricultural use and miscellaneous",NA,1,3.5,4,5.5,7,3,47.6,7.1,7.1,7.1,7.1,7.1,7.1,7,7.1,9,10,5,NA,NA
"reclamation projects",NA,NA,NA,NA,NA,NA,NA,NA,132.6,130,54.29,49.17,50.86,52.5,48,44,42,40,44,48,48
"used tires",NA,NA,NA,NA,NA,NA,NA,NA,NA,371.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"baled tires/market",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.76,1.92,30,20.1,10.19,12,14.6,12,10,5,NA,NA
