tire_type,year,weight,percent_disposed,percent_synthetic_rubber,percent_carbon_black
light duty,1990,20,84%,27%,28%
light duty,1991,20,84%,27%,28%
light duty,1992,20,84%,27%,28%
light duty,1993,20,84%,27%,28%
light duty,1994,20,84%,27%,28%
light duty,1995,20,84%,27%,28%
light duty,1996,20,84%,27%,28%
light duty,1997,20,84%,27%,28%
light duty,1998,20,84%,27%,28%
light duty,1999,20,84%,27%,28%
light duty,2000,20,84%,27%,28%
light duty,2001,20,84%,27%,28%
light duty,2002,20,85%,27%,28%
light duty,2003,20,86%,27%,28%
light duty,2004,21.25,87%,27%,28%
light duty,2005,22.5,88%,27%,28%
light duty,2006,22.5,87%,27%,28%
light duty,2007,22.5,85%,27%,28%
light duty,2008,22.5,86%,27%,28%
light duty,2009,22.5,87%,27%,28%
light duty,2010,22.5,89%,27%,28%
light duty,2011,22.5,90%,27%,28%
light duty,2012,22.5,89%,27%,28%
light duty,2013,22.5,90%,27%,28%
light duty,2014,22.5,89%,27%,28%
light duty,2015,22.5,89%,27%,28%
light duty,2016,22.5,89%,27%,28%
light duty,2017,22.5,89%,27%,28%
light duty,2018,22.5,89%,27%,28%
light duty,2019,22.5,88%,27%,28%
light duty,2020,23.75,88%,27%,28%
light duty,2021,25,88%,27%,28%
light duty,2022,25,88%,27%,28%
commercial,1990,110,16%,14%,28%
commercial,1991,110,16%,14%,28%
commercial,1992,110,16%,14%,28%
commercial,1993,110,16%,14%,28%
commercial,1994,110,16%,14%,28%
commercial,1995,110,16%,14%,28%
commercial,1996,110,16%,14%,28%
commercial,1997,110,16%,14%,28%
commercial,1998,110,16%,14%,28%
commercial,1999,110,16%,14%,28%
commercial,2000,110,16%,14%,28%
commercial,2001,110,16%,14%,28%
commercial,2002,110,15%,14%,28%
commercial,2003,110,14%,14%,28%
commercial,2004,110,13%,14%,28%
commercial,2005,110,12%,14%,28%
commercial,2006,115,13%,14%,28%
commercial,2007,120,15%,14%,28%
commercial,2008,120,14%,14%,28%
commercial,2009,120,13%,14%,28%
commercial,2010,120,11%,14%,28%
commercial,2011,120,11%,14%,28%
commercial,2012,120,11%,14%,28%
commercial,2013,120,11%,14%,28%
commercial,2014,120,11%,14%,28%
commercial,2015,120,11%,14%,28%
commercial,2016,120,11%,14%,28%
commercial,2017,120,11%,14%,28%
commercial,2018,120,12%,14%,28%
commercial,2019,120,12%,14%,28%
commercial,2020,120,12%,14%,28%
commercial,2021,120,12%,14%,28%
commercial,2022,120,12%,14%,28%
